,Literal,Codi,Any,Riscos
0,Abella de la Conca,250019,2020,3
1,Abrera,080018,2020,6
2,Agramunt,250030,2020,3
3,Aguilar de Segarra,080023,2020,4
4,Agullana,170010,2020,5
5,Aiguafreda,080142,2020,5
6,Aiguamúrcia,430017,2020,5
7,Aiguaviva,170025,2020,6
8,Aitona,250387,2020,5
9,Albanyà,170031,2020,4
10,Albatàrrec,250077,2020,4
11,Albesa,250083,2020,3
12,Albinyana,430022,2020,5
13,Albons,170046,2020,3
14,Alcanar,430043,2020,7
15,Alcanó,250100,2020,5
16,Alcarràs,250117,2020,5
17,Alcoletge,250122,2020,4
18,Alcover,430056,2020,6
19,Aldover,430069,2020,5
20,Alella,080039,2020,5
21,Alfara de Carles,430081,2020,4
22,Alfarràs,250138,2020,4
23,Alforja,430094,2020,5
24,Alfés,250143,2020,4
25,Algerri,250156,2020,4
26,Alguaire,250169,2020,5
27,Alins,250175,2020,5
28,Alió,430108,2020,4
29,Almacelles,250194,2020,4
30,Almatret,250208,2020,5
31,Almenar,250215,2020,5
32,Almoster,430115,2020,6
33,Alp,170062,2020,8
34,Alpens,080044,2020,3
35,Alpicat,250236,2020,4
36,Alt Àneu,250241,2020,5
37,Altafulla,430120,2020,8
38,Alàs i Cerc,250058,2020,4
39,Alòs de Balaguer,250220,2020,4
40,Amer,170078,2020,4
41,Amposta,430141,2020,9
42,Anglesola,250273,2020,4
43,Anglès,170084,2020,4
44,Arbeca,250292,2020,3
45,Arbolí,430154,2020,4
46,Arbúcies,170097,2020,4
47,Arenys de Mar,080060,2020,6
48,Arenys de Munt,080076,2020,5
49,Argelaguer,170101,2020,4
50,Argentona,080095,2020,6
51,Argençola,080082,2020,4
52,Arnes,430189,2020,4
53,Arres,250313,2020,6
54,Arsèguel,250328,2020,3
55,Artesa de Lleida,250334,2020,5
56,Artesa de Segre,250349,2020,4
57,Artés,080109,2020,4
58,Ascó,430192,2020,8
59,Aspa,250365,2020,3
60,Avinyonet de Puigventós,170123,2020,4
61,Avinyonet del Penedès,080137,2020,4
62,Avinyó,080121,2020,5
63,Avià,080116,2020,4
64,Badalona,080155,2020,9
65,Badia del Vallès,089045,2020,5
66,Bagà,080168,2020,5
67,Baix Pallars,250390,2020,4
68,Balaguer,250404,2020,4
69,Balenyà,080174,2020,4
70,Balsareny,080180,2020,5
71,Banyeres del Penedès,430206,2020,5
72,Banyoles,170157,2020,3
73,Barbens,250411,2020,3
74,Barberà de la Conca,430213,2020,5
75,Barberà del Vallès,082520,2020,9
76,Barcelona,080193,2020,11
77,Bassella,250447,2020,4
78,Batea,430228,2020,5
79,Bausen,250450,2020,4
80,Begues,080207,2020,4
81,Begur,170139,2020,6
82,Belianes,250463,2020,4
